"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dalton Schultz","HOU","TE20","0.0","0.0","0.0","65.8","622.1","3.6","0.2","83.1"
"Antonio Williams","WAS","WR68","3.5","18.7","0.1","44.4","600.1","3.6","1.2","81.7"
"Justice Hill","BAL","RB50","56.4","273.5","2.2","34.7","303.0","1.8","0.2","81.3"
"Denzel Boston","CLE","WR69","1.0","5.0","0.0","50.4","633.7","3.0","0.8","80.1"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","52.9","558.4","3.9","0.2","78.7"
"Tyler Allgeier","ARI","RB51","111.7","427.6","4.2","17.0","108.5","0.2","0.6","78.5"
"Braelon Allen","NYJ","RB52","105.9","427.0","4.3","12.8","94.2","0.7","1.7","78.5"
"Cade Otton","TB","TE22","0.0","0.0","0.0","57.6","592.5","3.2","0.1","78.4"
"Samaje Perine","CIN","RB53","98.9","442.7","3.7","17.9","135.1","0.4","1.9","78.2"
"T.J. Hockenson","MIN","TE23","0.0","0.0","0.0","65.8","577.0","3.4","0.2","77.8"
"Oronde Gadsden II","LAC","TE24","0.0","0.0","0.0","47.2","587.3","3.4","0.7","77.6"
"Cooper Kupp","SEA","WR70","0.5","1.5","0.0","47.4","583.7","3.4","0.7","77.6"
"Terrance Ferguson","LAR","TE25","0.0","0.0","0.0","34.2","507.6","4.5","0.1","77.5"
"AJ Dillon","CAR","RB54","123.0","501.0","3.0","16.0","132.0","1.0","5.0","77.3"
"Jordan James","SF","RB55","102.3","416.0","3.2","16.2","148.5","0.7","1.2","77.2"
"AJ Barner","SEA","TE26","0.0","0.0","0.0","45.9","452.2","5.3","0.2","76.6"
"Greg Dulcich","MIA","TE27","0.0","0.0","0.0","53.5","606.8","2.8","1.2","74.8"
"Germie Bernard","PIT","WR71","2.1","10.8","0.0","44.6","554.8","3.1","0.8","73.9"
"Chig Okonkwo","WAS","TE28","0.0","0.0","0.0","52.4","576.4","2.6","0.1","73.0"
"Dylan Sampson","CLE","RB56","79.8","258.1","1.5","33.8","268.7","2.1","1.2","72.0"
"Ty Johnson","BUF","RB57","51.4","222.1","2.1","22.8","241.5","2.2","0.2","71.2"
"Darnell Mooney","NYG","WR72","1.1","6.0","0.0","36.5","535.2","2.8","0.1","70.6"
