"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mack Hollins","NE","WR123","0.0","1.7","0.0","12.3","153.0","1.1","0.0","22.1"
"KhaDarel Hodge","ATL","WR124","0.0","2.0","0.0","12.2","161.2","1.0","0.1","22.0"
"Brashard Smith","KC","RB96","14.4","91.4","0.6","8.5","63.1","0.5","0.0","21.8"
"Dareke Young","SEA","WR125","0.0","0.0","0.0","15.4","171.4","0.9","0.5","21.6"
"Julian Hill","MIA","TE56","0.0","0.0","0.0","17.2","153.9","1.1","0.4","21.2"
"Jalin Hyatt","NYG","WR126","0.0","0.0","0.0","12.0","159.5","0.9","0.0","21.0"
"Arian Smith","NYJ","WR127","0.0","5.5","0.0","13.4","161.0","0.7","0.0","20.9"
"Kalel Mullings","TEN","RB97","28.5","118.9","0.9","4.2","32.3","0.1","0.0","20.9"
"Luke Schoonmaker","DAL","TE57","0.0","0.0","0.0","14.9","132.2","1.2","0.0","20.1"
"Kimani Vidal","LAC","RB98","39.6","95.1","0.5","6.4","48.8","0.4","0.0","19.7"
"Luke McCaffrey","WAS","WR128","0.0","1.0","0.0","13.2","136.1","1.0","0.1","19.6"
"Jeremy Ruckert","NYJ","TE58","0.0","0.0","0.0","16.2","139.3","0.9","0.0","19.4"
"Payne Durham","TB","TE59","0.0","0.0","0.0","11.9","116.6","1.3","0.0","19.3"
"Charlie Woerner","ATL","TE60","0.0","0.0","0.0","13.7","131.5","1.0","0.0","19.3"
"Emari Demercado","ARI","RB99","18.7","106.3","0.4","8.1","53.9","0.1","0.0","19.1"
"Grant Calcaterra","PHI","TE61","0.0","0.0","0.0","12.3","135.8","0.9","0.0","18.7"
"Ty Chandler","MIN","RB100","19.3","97.3","0.7","4.9","34.4","0.1","0.0","17.8"
"Tai Felton","MIN","WR129","0.0","1.7","0.0","10.1","118.2","1.0","0.0","17.8"
"Jeremy McNichols","WAS","RB101","21.9","93.0","1.1","2.7","15.3","0.0","0.0","17.7"
"Elijah Higgins","ARI","TE62","0.0","0.0","0.0","11.4","110.4","1.1","0.0","17.4"
"Marquez Valdes-Scantling","PIT","WR130","0.0","2.0","0.0","7.0","112.0","1.0","0.0","17.4"
"Tyquan Thornton","KC","WR131","0.0","0.0","0.0","8.1","116.5","0.9","0.0","16.8"
"Darnell Washington","PIT","TE63","0.0","0.0","0.0","12.2","122.9","0.7","0.0","16.5"
"Johnny Mundt","JAC","TE64","0.0","0.0","0.0","13.4","115.2","0.8","0.0","16.5"
"Savion Williams","GB","WR132","4.5","19.5","0.1","7.6","89.3","0.8","0.0","16.0"
"Blake Whiteheart","CLE","TE65","0.0","0.0","0.0","11.7","116.3","0.7","0.0","16.0"
"George Holani","SEA","RB102","8.8","98.0","0.6","3.0","21.9","0.0","0.0","15.8"
"Colby Parkinson","LAR","TE66","0.0","0.0","0.0","10.6","106.9","0.9","0.0","15.8"
"Daniel Bellinger","NYG","TE67","0.0","0.0","0.0","12.9","122.7","0.6","0.0","15.7"
"Connor Heyward","PIT","TE68","0.0","0.0","0.0","10.1","87.1","1.2","0.0","15.7"
"Jake Briningstool","KC","TE69","0.0","0.0","0.0","10.0","94.0","1.0","0.0","15.4"
"Drew Ogletree","IND","TE70","0.0","0.0","0.0","7.5","96.9","0.8","0.0","14.6"
"Tim Patrick","JAC","WR133","0.0","0.0","0.0","8.6","104.1","0.7","0.0","14.4"
"Tylan Wallace","BAL","WR134","0.0","1.7","0.0","6.8","87.5","0.9","0.0","14.1"
"Stone Smartt","NYJ","TE71","0.0","0.0","0.0","8.9","96.3","0.8","0.3","13.6"
"Jimmy Horn Jr.","CAR","WR135","0.0","0.0","0.0","8.2","98.1","0.6","0.0","13.6"
"Teagan Quitoriano","ATL","TE72","0.0","0.0","0.0","6.4","99.5","0.6","0.0","13.4"
"Jaylin Lane","WAS","WR136","2.2","13.5","0.1","6.9","79.6","0.5","0.1","13.3"
"Taysom Hill","NO","TE73","0.0","50.0","1.0","2.3","22.0","0.0","0.0","13.2"
"Sterling Shepard","TB","WR137","0.8","7.0","0.0","8.5","88.7","0.6","0.0","13.1"
"LeQuint Allen Jr.","JAC","RB103","17.0","60.6","0.7","3.5","25.4","0.1","0.0","13.1"
"Casey Washington","ATL","WR138","0.0","0.0","0.0","7.4","89.8","0.7","0.0","12.9"
"Drew Sample","CIN","TE74","0.0","0.0","0.0","10.3","82.6","0.8","0.0","12.8"
"Lucas Krull","DEN","TE75","0.0","0.0","0.0","9.9","90.3","0.6","0.0","12.7"
"Craig Reynolds","NE","RB104","8.5","38.0","0.1","6.8","54.3","0.4","0.0","12.2"
"Devin Culp","TB","TE76","0.0","0.0","0.0","7.2","77.2","0.7","0.0","11.7"
"Alec Ingold","MIA","RB105","9.0","21.8","0.6","6.1","44.1","0.4","0.4","11.7"
"Ryan Flournoy","DAL","WR139","0.0","0.0","0.0","7.7","83.6","0.6","0.1","11.6"
"KeAndre Lambert-Smith","LAC","WR140","0.0","3.0","0.0","5.9","77.6","0.6","0.0","11.4"
"Devontez Walker","BAL","WR141","0.0","1.7","0.0","5.2","71.0","0.7","0.0","11.3"
"Bo Melton","GB","WR142","0.0","0.0","0.0","6.6","78.1","0.6","0.0","11.3"
"Moliki Matavao","NO","TE77","0.0","0.0","0.0","7.6","74.5","0.6","0.0","11.2"
"Travis Homer","CHI","RB106","19.5","63.5","0.3","3.3","24.9","0.1","0.0","11.2"
"Brevyn Spann-Ford","DAL","TE78","0.0","0.0","0.0","7.8","74.6","0.6","0.0","11.2"
"Tanner Conner","NYG","TE79","0.0","0.0","0.0","8.6","69.1","0.7","0.0","10.8"
"Nate Adkins","DEN","TE80","0.0","0.0","0.0","6.0","46.0","1.0","0.0","10.6"
"John Bates","WAS","TE81","0.0","0.0","0.0","7.8","74.3","0.5","0.0","10.6"
"Phil Mafah","DAL","RB107","0.0","61.5","0.5","1.5","11.0","0.0","0.0","10.3"
"Xavier Restrepo","TEN","WR143","0.0","2.0","0.0","4.0","40.0","1.0","0.0","10.2"
"C.J. Ham","MIN","RB108","2.2","10.4","1.0","3.6","25.7","0.0","0.0","9.9"
"Xavier Gipson","NYG","WR144","0.0","3.7","0.0","7.4","81.3","0.4","0.5","9.9"
"Jordan James","SF","RB109","18.2","63.0","0.4","1.0","12.0","0.0","0.0","9.8"
"Trey Palmer","NO","WR145","0.0","2.0","0.0","6.6","76.9","0.3","0.0","9.8"
"Hunter Long","JAC","TE82","0.0","0.0","0.0","8.4","75.9","0.4","0.0","9.8"
"Raheim Sanders","CLE","RB110","14.0","56.0","0.5","1.5","11.5","0.0","0.0","9.8"
"Irvin Charles","NYJ","WR146","0.0","0.0","0.0","6.4","68.3","0.5","0.0","9.5"
"Malik Heath","ATL","WR147","0.0","2.0","0.0","5.8","66.0","0.4","0.0","9.4"
"Gavin Bartholomew","MIN","TE83","0.0","0.0","0.0","5.5","59.5","0.6","0.0","9.4"
"Cody White","SEA","WR148","0.0","0.0","0.0","5.4","66.6","0.4","0.0","9.1"
"Skyy Moore","SF","WR149","0.0","0.0","0.0","5.4","66.1","0.4","0.0","8.9"
"Eric Saubert","SEA","TE84","0.0","0.0","0.0","6.7","59.8","0.5","0.0","8.7"
"John Metchie III","NYJ","WR150","0.0","0.0","0.0","6.2","68.2","0.3","0.0","8.6"
"Travis Vokolek","ARI","TE85","0.0","0.0","0.0","5.5","55.5","0.5","0.0","8.6"
"Tip Reiman","ARI","TE86","0.0","0.0","0.0","6.6","60.3","0.4","0.0","8.5"
"Charlie Kolar","BAL","TE87","0.0","0.5","0.0","4.9","60.0","0.4","0.0","8.4"
"Dare Ogunbowale","HOU","RB111","4.0","31.1","0.1","5.3","39.9","0.2","0.0","8.3"
"Ian Thomas","LV","TE88","0.0","0.0","0.0","6.6","58.5","0.4","0.0","8.3"
"Mitchell Evans","CAR","TE89","0.0","0.0","0.0","6.3","59.7","0.4","0.0","8.2"
"Thomas Fidone II","NYG","TE90","0.0","0.0","0.0","5.5","52.0","0.5","0.0","8.2"
"Ben Sims","MIN","TE91","0.0","0.0","0.0","5.0","51.0","0.5","0.0","8.1"
"Cam Grandy","CIN","TE92","0.0","0.0","0.0","6.2","54.1","0.4","0.0","8.1"
"Luke Farrell","SF","TE93","0.0","0.0","0.0","6.1","58.5","0.4","0.0","8.1"
"Jackson Hawes","BUF","TE94","0.0","0.0","0.0","5.3","57.2","0.4","0.0","8.0"
"Jaheim Bell","PHI","TE95","0.0","0.0","0.0","5.0","50.0","0.5","0.0","8.0"
"Tyler Johnson","NYJ","WR151","0.0","0.0","0.0","7.0","80.0","0.0","0.0","8.0"
"Efton Chism III","NE","WR152","0.0","0.0","0.0","4.9","56.9","0.4","0.0","8.0"
"Jelani Woods","NYJ","TE96","0.0","0.0","0.0","3.5","46.5","0.5","0.0","7.7"
"Jared Wiley","KC","TE97","0.0","0.0","0.0","5.4","53.1","0.4","0.0","7.6"
"Mason Tipton","NO","WR153","0.0","0.0","0.0","5.2","54.8","0.4","0.0","7.6"
"Nathan Carter","ATL","RB112","9.3","39.1","0.3","2.1","14.2","0.1","0.1","7.6"
"Derius Davis","LAC","WR154","10.5","35.5","0.2","2.8","31.2","0.1","0.6","7.5"
"Patrick Ricard","BAL","RB113","4.1","11.5","0.1","3.4","27.3","0.5","0.0","7.4"
"Trent Sherfield Sr.","NE","WR155","0.0","0.0","0.0","4.4","52.8","0.4","0.0","7.3"
"Terrell Jennings","NE","RB114","4.8","20.1","0.1","3.8","29.1","0.2","0.0","6.7"
"Chris Manhertz","NYG","TE98","0.0","0.0","0.0","4.9","44.3","0.4","0.0","6.7"
"Durham Smythe","CHI","TE99","0.0","0.0","0.0","5.4","45.6","0.4","0.0","6.6"
"Tez Johnson","TB","WR156","0.0","0.0","0.0","4.0","49.4","0.2","0.0","6.3"
"Ben Skowronek","PIT","WR157","0.0","0.0","0.0","4.0","43.9","0.3","0.0","6.1"
"Eric Gray","NYG","RB115","11.8","42.6","0.2","1.9","14.3","0.1","0.5","6.0"
"Bam Knight","ARI","RB116","4.6","19.5","0.1","3.1","22.5","0.1","0.0","5.8"
"Will Mallory","IND","TE100","0.0","0.0","0.0","3.9","38.7","0.3","0.0","5.8"
"Xavier Weaver","ARI","WR158","0.0","0.0","0.0","3.4","39.9","0.3","0.0","5.8"
"Justin Watson","HOU","WR159","0.0","0.0","0.0","3.3","44.8","0.2","0.0","5.7"
"Jordan Watkins","SF","WR160","0.0","2.5","0.0","3.0","42.7","0.2","0.0","5.6"
"Scotty Miller","PIT","WR161","0.0","0.0","0.0","3.9","47.0","0.1","0.0","5.4"
"Charlie Jones","CIN","WR162","0.0","1.7","0.0","3.3","39.1","0.2","0.0","5.4"
"Kylen Granson","PHI","TE101","0.0","0.0","0.0","4.0","45.1","0.1","0.0","5.2"
"David Martin-Robinson","TEN","TE102","0.0","0.0","0.0","3.7","37.2","0.3","0.0","5.2"
"Bryce Oliver","TEN","WR163","0.0","0.0","0.0","3.4","38.2","0.2","0.0","5.2"
"Rasheen Ali","BAL","RB117","5.2","33.4","0.1","1.4","10.2","0.1","0.0","5.1"
"Davis Allen","LAR","TE103","0.0","0.0","0.0","4.0","37.9","0.2","0.0","5.0"
"Hunter Luepke","DAL","RB118","4.2","14.3","0.1","3.9","26.6","0.1","0.0","4.9"
"Gage Larvadain","CLE","WR164","0.0","0.0","0.0","3.6","39.0","0.2","0.0","4.8"
"Dee Eskridge","MIA","WR165","0.0","1.7","0.0","2.9","32.4","0.2","0.0","4.7"
"Dylan Laube","LV","RB119","4.0","29.4","0.1","2.0","14.5","0.0","0.0","4.7"
"Ko Kieft","TB","TE104","0.0","0.0","0.0","1.5","16.0","0.5","0.0","4.6"
"Lil'Jordan Humphrey","DEN","WR166","0.0","0.0","0.0","4.0","44.0","0.0","0.0","4.4"
"Mo Alie-Cox","IND","TE105","0.0","0.0","0.0","2.8","30.9","0.2","0.0","4.2"
"Tucker Fisk","LAC","TE106","0.0","0.0","0.0","3.3","31.6","0.2","0.0","4.1"
"Deuce Vaughn","DEN","RB120","0.0","31.0","0.0","1.0","8.0","0.0","0.0","3.9"
"Brycen Tremayne","CAR","WR167","0.0","0.0","0.0","2.6","29.0","0.1","0.0","3.7"
"Carlos Washington Jr.","ATL","RB121","0.0","30.0","0.0","1.0","7.0","0.0","0.0","3.7"
"Tanner Hudson","CIN","TE107","0.0","0.0","0.0","2.9","26.5","0.2","0.0","3.6"
"Nick Nash","WAS","WR168","0.0","0.0","0.0","3.0","35.0","0.0","0.0","3.5"
"DeAndre Carter","CLE","WR169","0.0","3.0","0.0","3.9","39.4","0.0","0.5","3.5"
"Mitch Tinsley","CIN","WR170","0.0","0.0","0.0","2.5","28.8","0.1","0.0","3.4"
"Velus Jones Jr.","SEA","WR171","2.4","10.5","0.1","1.8","13.3","0.1","0.0","3.4"
"Michael Carter","ARI","RB122","0.0","21.0","0.0","1.5","11.0","0.0","0.0","3.2"
"Malachi Corley","CLE","WR172","0.0","2.0","0.0","3.0","29.0","0.0","0.0","3.1"
"Erick All Jr.","CIN","TE108","0.0","0.0","0.0","2.3","20.5","0.2","0.0","3.1"
"Konata Mumpfield","LAR","WR173","0.0","0.0","0.0","1.8","21.2","0.2","0.0","3.0"
"Anthony Gould","IND","WR174","0.0","2.5","0.0","1.8","22.8","0.1","0.0","2.8"
"Tyrell Shavers","BUF","WR175","0.0","0.0","0.0","1.5","20.1","0.1","0.0","2.8"
"Cedrick Wilson Jr.","MIA","WR176","0.0","6.0","0.0","2.0","22.0","0.0","0.0","2.8"
"Dante Pettis","NO","WR177","0.0","6.0","0.0","2.0","22.0","0.0","0.0","2.8"
"Kendrick Bourne","SF","WR178","0.0","5.0","0.0","2.0","22.0","0.0","0.0","2.7"
"Tyler Scott","LAR","WR179","0.0","5.0","0.0","2.0","22.0","0.0","0.0","2.7"
"Ashton Dulin","IND","WR180","0.0","1.7","0.0","1.7","19.4","0.1","0.0","2.6"
"Jack Westover","NE","TE109","0.0","0.0","0.0","1.8","18.3","0.1","0.0","2.6"
"Audric Estime","NO","RB123","0.0","20.0","0.0","1.0","6.0","0.0","0.0","2.6"
"Josh Williams","TB","RB124","4.5","18.8","0.1","0.0","0.0","0.0","0.0","2.6"
"Feleipe Franks","ATL","QB1","0.0","0.0","0.0","1.8","17.7","0.1","0.0","2.5"
"Pharaoh Brown","ARI","TE110","0.0","0.0","0.0","2.5","25.0","0.0","0.0","2.5"
"Beaux Collins","NYG","WR181","0.0","0.0","0.0","1.7","19.1","0.1","0.0","2.5"
"Damien Martinez","GB","RB125","0.0","17.0","0.0","1.0","7.0","0.0","0.0","2.4"
"James Mitchell","CAR","TE111","0.0","0.0","0.0","1.9","17.8","0.1","0.0","2.3"
"Pierre Strong Jr.","GB","RB126","0.0","12.5","0.0","1.0","7.5","0.0","0.0","2.0"
"Carson Steele","PHI","RB127","0.0","12.0","0.0","1.0","7.0","0.0","0.0","1.9"
"Scott Matlock","LAC","DT1","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.9"
"Josh Whyle","GB","TE112","0.0","0.0","0.0","1.5","15.5","0.0","0.0","1.6"
"Jack Stoll","NO","TE113","0.0","0.0","0.0","1.5","15.0","0.0","0.0","1.5"
"Isaiah Williams","NYJ","WR182","0.0","0.0","0.0","1.0","14.0","0.0","0.0","1.4"
"Tyler Badie","DEN","RB128","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Ryan Miller","NYG","WR183","0.0","0.0","0.0","0.8","9.7","0.1","0.0","1.4"
"Cam Akers","SEA","RB129","0.0","10.5","0.0","0.5","3.0","0.0","0.0","1.4"
"Xavier Smith","LAR","WR184","2.2","9.6","0.1","1.0","11.0","0.0","0.5","1.3"
"Braxton Berrios","HOU","WR185","0.0","2.5","0.0","1.0","10.5","0.0","0.0","1.3"
"Tank Dell","HOU","WR186","0.0","0.0","0.0","1.0","12.0","0.0","0.0","1.2"
"LaJohntay Wester","BAL","WR187","0.0","0.0","0.0","1.0","12.0","0.0","0.0","1.2"
"Keilan Robinson","NYJ","RB130","0.0","4.0","0.0","1.0","7.0","0.0","0.0","1.1"
"Ronnie Rivers","LAR","RB131","0.0","4.0","0.0","1.0","7.0","0.0","0.0","1.1"
"Nick Vannett","LAR","TE114","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Robert Tonyan","KC","TE115","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Quintin Morris","JAC","TE116","0.0","0.0","0.0","1.0","10.0","0.0","0.0","1.0"
"Greg Dulcich","MIA","TE117","0.0","0.0","0.0","1.0","9.5","0.0","0.0","1.0"
"DeeJay Dallas","JAC","RB132","0.0","8.0","0.0","1.5","11.0","0.0","0.5","0.9"
"Devin Duvernay","CHI","WR188","0.0","6.0","0.0","2.0","23.0","0.0","1.0","0.9"
"Jacob Cowing","SF","WR189","0.0","8.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Sione Vaki","DET","RB133","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"Jason Brownlee","KC","WR190","0.0","0.0","0.0","0.5","7.0","0.0","0.0","0.7"
"Nikko Remigio","KC","WR191","0.0","0.0","0.0","0.5","6.5","0.0","0.0","0.7"
"Harrison Bryant","HOU","TE118","0.0","0.0","0.0","0.5","5.5","0.0","0.0","0.6"
"D'Ernest Johnson","NE","RB134","0.0","2.0","0.0","0.5","3.0","0.0","0.0","0.5"
"Ameer Abdullah","IND","RB135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Burton","DEN","RB136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chase Edmonds","WAS","RB137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CLE","RB138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","RB139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","RB140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","RB141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","RB143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","LB1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","RB144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","RB145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","RB146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","DET","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","TE122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","WAS","TE123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","TE124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","TE125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","WAS","WR192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","TE126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","HOU","TE127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","TE128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","TE129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","WR193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","CHI","TE130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","GB","TE131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","TE132","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","TE133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","NE","TE134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","MIA","TE135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","TE136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","TE137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","LAC","TE138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brenden Bates","CLE","TE139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","TE140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caleb Lohner","DEN","TE141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","WR194","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills V","ATL","WR195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","WR196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Treylon Burks","WAS","WR197","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Mingo","DAL","WR198","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","WR199","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","WR200","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Cephus","JAC","WR201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","WR202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","WR203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","WR204","0.0","5.0","0.0","0.0","0.0","0.0","1.0","-1.5"
""
""
